"","Year","Gender","Age","Mortality","Population"
"1","2020","Person","All",61733,51684500
"2","2019","Person","All",61774,51509300
"3","2018","Person","All",62377,51345300
"4","2017","Person","All",62809,51084100
"5","2016","Person","All",63206,50798600
"6","2015","Person","All",62177,50360500
"7","2014","Person","All",61964,49941800
"8","2013","Person","All",62132,49584200
"9","2012","Person","All",62327,49281700
"10","2011","Person","All",62185,48969700
"11","2010","Person","All",61738,48569300
"12","2009","Person","All",61888,48183900
"13","2008","Person","All",62072,47839700
"14","2007","Person","All",61921,47442600
"15","2006","Person","All",61890,47075000
"16","2005","Person","All",62209,46764200
"17","2004","Person","All",62679,46391500
"18","2003","Person","All",63458,46148900
"19","2020","Female","All",28779,25801600
"20","2020","Female","0 to 4",21,1577200
"21","2020","Female","5 to 9",23,1725100
"22","2020","Female","10 to 14",34,1673700
"23","2020","Female","15 to 19",42,1514400
"24","2020","Female","20 to 24",41,1680800
"25","2020","Female","25 to 29",98,1847100
"26","2020","Female","30 to 34",213,1908200
"27","2020","Female","35 to 39",438,1885200
"28","2020","Female","40 to 44",677,1746000
"29","2020","Female","45 to 49",1252,1835400
"30","2020","Female","50 to 54",2254,1964000
"31","2020","Female","55 to 59",3364,1909200
"32","2020","Female","60 to 64",4707,1628300
"33","2020","Female","65 to 69",6189,1436600
"34","2020","Female","70 to 74",9426,1470200
"35","2019","Female","All",28564,25734700
"36","2019","Female","0 to 4",24,1606400
"37","2019","Female","5 to 9",34,1725700
"38","2019","Female","10 to 14",26,1634800
"39","2019","Female","15 to 19",29,1502500
"40","2019","Female","20 to 24",58,1695100
"41","2019","Female","25 to 29",90,1868300
"42","2019","Female","30 to 34",237,1907400
"43","2019","Female","35 to 39",440,1884500
"44","2019","Female","40 to 44",650,1714100
"45","2019","Female","45 to 49",1305,1876500
"46","2019","Female","50 to 54",2345,1980500
"47","2019","Female","55 to 59",3360,1861000
"48","2019","Female","60 to 64",4547,1584600
"49","2019","Female","65 to 69",6100,1443900
"50","2019","Female","70 to 74",9319,1449200
"51","2018","Female","All",28873,25655200
"52","2018","Female","0 to 4",26,1630500
"53","2018","Female","5 to 9",36,1719900
"54","2018","Female","10 to 14",28,1596300
"55","2018","Female","15 to 19",35,1506700
"56","2018","Female","20 to 24",63,1707000
"57","2018","Female","25 to 29",131,1879900
"58","2018","Female","30 to 34",249,1897900
"59","2018","Female","35 to 39",459,1871600
"60","2018","Female","40 to 44",631,1704100
"61","2018","Female","45 to 49",1405,1919500
"62","2018","Female","50 to 54",2226,1984000
"63","2018","Female","55 to 59",3530,1810000
"64","2018","Female","60 to 64",4551,1551200
"65","2018","Female","65 to 69",6371,1456500
"66","2018","Female","70 to 74",9132,1420100
"67","2017","Female","All",28864,25526400
"68","2017","Female","0 to 4",29,1649400
"69","2017","Female","5 to 9",36,1706900
"70","2017","Female","10 to 14",30,1543600
"71","2017","Female","15 to 19",38,1519100
"72","2017","Female","20 to 24",41,1715700
"73","2017","Female","25 to 29",96,1893300
"74","2017","Female","30 to 34",221,1882500
"75","2017","Female","35 to 39",435,1830200
"76","2017","Female","40 to 44",693,1731400
"77","2017","Female","45 to 49",1348,1946300
"78","2017","Female","50 to 54",2356,1979300
"79","2017","Female","55 to 59",3256,1759600
"80","2017","Female","60 to 64",4556,1520000
"81","2017","Female","65 to 69",6813,1491500
"82","2017","Female","70 to 74",8916,1357500
"83","2016","Female","All",29365,25381100
"84","2016","Female","0 to 4",26,1671400
"85","2016","Female","5 to 9",19,1672600
"86","2016","Female","10 to 14",28,1497800
"87","2016","Female","15 to 19",43,1547600
"88","2016","Female","20 to 24",52,1735900
"89","2016","Female","25 to 29",132,1887400
"90","2016","Female","30 to 34",268,1874700
"91","2016","Female","35 to 39",424,1783200
"92","2016","Female","40 to 44",714,1778800
"93","2016","Female","45 to 49",1392,1963300
"94","2016","Female","50 to 54",2407,1961500
"95","2016","Female","55 to 59",3481,1707200
"96","2016","Female","60 to 64",4573,1494400
"97","2016","Female","65 to 69",7328,1561500
"98","2016","Female","70 to 74",8478,1243800
"99","2015","Female","All",28574,25186400
"100","2015","Female","0 to 4",23,1674300
"101","2015","Female","5 to 9",29,1638600
"102","2015","Female","10 to 14",24,1465100
"103","2015","Female","15 to 19",43,1562800
"104","2015","Female","20 to 24",58,1759800
"105","2015","Female","25 to 29",129,1870600
"106","2015","Female","30 to 34",230,1870100
"107","2015","Female","35 to 39",424,1740300
"108","2015","Female","40 to 44",719,1831300
"109","2015","Female","45 to 49",1430,1967600
"110","2015","Female","50 to 54",2352,1927600
"111","2015","Female","55 to 59",3270,1656700
"112","2015","Female","60 to 64",4627,1482000
"113","2015","Female","65 to 69",7225,1552400
"114","2015","Female","70 to 74",7991,1187400
"115","2014","Female","All",28535,24988100
"116","2014","Female","0 to 4",32,1673200
"117","2014","Female","5 to 9",38,1597200
"118","2014","Female","10 to 14",22,1451600
"119","2014","Female","15 to 19",41,1572200
"120","2014","Female","20 to 24",58,1769100
"121","2014","Female","25 to 29",145,1857200
"122","2014","Female","30 to 34",250,1862900
"123","2014","Female","35 to 39",380,1701200
"124","2014","Female","40 to 44",800,1869000
"125","2014","Female","45 to 49",1431,1983100
"126","2014","Female","50 to 54",2294,1877400
"127","2014","Female","55 to 59",3213,1610400
"128","2014","Female","60 to 64",4753,1487800
"129","2014","Female","65 to 69",7096,1528900
"130","2014","Female","70 to 74",7982,1146800
"131","2013","Female","All",28653,24817500
"132","2013","Female","0 to 4",31,1665300
"133","2013","Female","5 to 9",34,1555900
"134","2013","Female","10 to 14",29,1452700
"135","2013","Female","15 to 19",35,1584100
"136","2013","Female","20 to 24",71,1774400
"137","2013","Female","25 to 29",123,1844700
"138","2013","Female","30 to 34",243,1850300
"139","2013","Female","35 to 39",391,1687700
"140","2013","Female","40 to 44",816,1912300
"141","2013","Female","45 to 49",1425,1986100
"142","2013","Female","50 to 54",2260,1824700
"143","2013","Female","55 to 59",3267,1574600
"144","2013","Female","60 to 64",4862,1499800
"145","2013","Female","65 to 69",7285,1498100
"146","2013","Female","70 to 74",7781,1106900
"147","2012","Female","All",28877,24670200
"148","2012","Female","0 to 4",38,1656400
"149","2012","Female","5 to 9",35,1505100
"150","2012","Female","10 to 14",37,1468000
"151","2012","Female","15 to 19",36,1600700
"152","2012","Female","20 to 24",56,1788200
"153","2012","Female","25 to 29",118,1834000
"154","2012","Female","30 to 34",244,1809200
"155","2012","Female","35 to 39",382,1716100
"156","2012","Female","40 to 44",816,1941300
"157","2012","Female","45 to 49",1562,1982200
"158","2012","Female","50 to 54",2358,1775100
"159","2012","Female","55 to 59",3404,1543800
"160","2012","Female","60 to 64",5148,1536700
"161","2012","Female","65 to 69",6920,1433400
"162","2012","Female","70 to 74",7723,1079900
"163","2011","Female","All",28762,24511700
"164","2011","Female","0 to 4",31,1625000
"165","2011","Female","5 to 9",24,1459600
"166","2011","Female","10 to 14",20,1497100
"167","2011","Female","15 to 19",36,1623200
"168","2011","Female","20 to 24",72,1780700
"169","2011","Female","25 to 29",137,1831300
"170","2011","Female","30 to 34",227,1763900
"171","2011","Female","35 to 39",382,1766700
"172","2011","Female","40 to 44",836,1959600
"173","2011","Female","45 to 49",1489,1966000
"174","2011","Female","50 to 54",2317,1723600
"175","2011","Female","55 to 59",3297,1518700
"176","2011","Female","60 to 64",5522,1610300
"177","2011","Female","65 to 69",6717,1315000
"178","2011","Female","70 to 74",7655,1071000
"179","2010","Female","All",28339,24325800
"180","2010","Female","0 to 4",40,1601400
"181","2010","Female","5 to 9",31,1433900
"182","2010","Female","10 to 14",38,1516100
"183","2010","Female","15 to 19",52,1633900
"184","2010","Female","20 to 24",54,1752000
"185","2010","Female","25 to 29",116,1820800
"186","2010","Female","30 to 34",198,1717300
"187","2010","Female","35 to 39",431,1826300
"188","2010","Female","40 to 44",879,1967800
"189","2010","Female","45 to 49",1458,1935500
"190","2010","Female","50 to 54",2234,1672200
"191","2010","Female","55 to 59",3378,1508700
"192","2010","Female","60 to 64",5459,1604000
"193","2010","Female","65 to 69",6189,1257400
"194","2010","Female","70 to 74",7782,1078500
"195","2009","Female","All",28421,24144000
"196","2009","Female","0 to 4",35,1569200
"197","2009","Female","5 to 9",32,1421300
"198","2009","Female","10 to 14",37,1525800
"199","2009","Female","15 to 19",39,1644300
"200","2009","Female","20 to 24",64,1739500
"201","2009","Female","25 to 29",100,1803100
"202","2009","Female","30 to 34",196,1678400
"203","2009","Female","35 to 39",421,1866500
"204","2009","Female","40 to 44",881,1986900
"205","2009","Female","45 to 49",1446,1889800
"206","2009","Female","50 to 54",2252,1629800
"207","2009","Female","55 to 59",3473,1518100
"208","2009","Female","60 to 64",5407,1584000
"209","2009","Female","65 to 69",6190,1217200
"210","2009","Female","70 to 74",7848,1070100
"211","2008","Female","All",28693,23969800
"212","2008","Female","0 to 4",30,1534400
"213","2008","Female","5 to 9",31,1421600
"214","2008","Female","10 to 14",26,1537700
"215","2008","Female","15 to 19",37,1636700
"216","2008","Female","20 to 24",57,1734300
"217","2008","Female","25 to 29",124,1781800
"218","2008","Female","30 to 34",214,1668600
"219","2008","Female","35 to 39",466,1906100
"220","2008","Female","40 to 44",953,1991400
"221","2008","Female","45 to 49",1495,1840000
"222","2008","Female","50 to 54",2277,1596800
"223","2008","Female","55 to 59",3509,1533600
"224","2008","Female","60 to 64",5554,1554400
"225","2008","Female","65 to 69",6222,1179500
"226","2008","Female","70 to 74",7698,1052900
"227","2007","Female","All",28635,23777100
"228","2007","Female","0 to 4",33,1487300
"229","2007","Female","5 to 9",26,1435300
"230","2007","Female","10 to 14",41,1545300
"231","2007","Female","15 to 19",56,1633700
"232","2007","Female","20 to 24",79,1703400
"233","2007","Female","25 to 29",121,1736500
"234","2007","Female","30 to 34",210,1687900
"235","2007","Female","35 to 39",500,1934900
"236","2007","Female","40 to 44",940,1996400
"237","2007","Female","45 to 49",1520,1790200
"238","2007","Female","50 to 54",2264,1566400
"239","2007","Female","55 to 59",3739,1581200
"240","2007","Female","60 to 64",5404,1487800
"241","2007","Female","65 to 69",6089,1153500
"242","2007","Female","70 to 74",7613,1037400
"243","2006","Female","All",28365,23598400
"244","2006","Female","0 to 4",40,1446000
"245","2006","Female","5 to 9",28,1459200
"246","2006","Female","10 to 14",28,1552600
"247","2006","Female","15 to 19",47,1615600
"248","2006","Female","20 to 24",53,1676500
"249","2006","Female","25 to 29",101,1678300
"250","2006","Female","30 to 34",212,1742800
"251","2006","Female","35 to 39",512,1953200
"252","2006","Female","40 to 44",910,1975000
"253","2006","Female","45 to 49",1458,1740200
"254","2006","Female","50 to 54",2264,1546900
"255","2006","Female","55 to 59",4023,1654400
"256","2006","Female","60 to 64",4987,1374200
"257","2006","Female","65 to 69",6147,1151100
"258","2006","Female","70 to 74",7555,1032500
"259","2005","Female","All",28670,23445200
"260","2005","Female","0 to 4",25,1418600
"261","2005","Female","5 to 9",32,1478900
"262","2005","Female","10 to 14",41,1568400
"263","2005","Female","15 to 19",52,1603300
"264","2005","Female","20 to 24",68,1639200
"265","2005","Female","25 to 29",101,1630900
"266","2005","Female","30 to 34",240,1790500
"267","2005","Female","35 to 39",504,1964000
"268","2005","Female","40 to 44",943,1946400
"269","2005","Female","45 to 49",1445,1693500
