Year,Period of coverage,Breakdown,Level,Level description,Gender,Age,Indicator value,Lower CI,Upper CI,Numerator,Denominator
2020,1/1/2020 to 31/12/2020,England,England,England,Person,All,125.1,124.1,126.1,"61,733","51,684,500"
2019,1/1/2019 to 31/12/2019,England,England,England,Person,All,126.3,125.3,127.3,"61,774","51,509,300"
2018,1/1/2018 to 31/12/2018,England,England,England,Person,All,128.9,127.9,129.9,"62,377","51,345,300"
2017,1/1/2017 to 31/12/2017,England,England,England,Person,All,131.8,130.8,132.8,"62,809","51,084,100"
2016,1/1/2016 to 31/12/2016,England,England,England,Person,All,135.6,134.5,136.7,"63,206","50,798,600"
2015,1/1/2015 to 31/12/2015,England,England,England,Person,All,136.4,135.3,137.5,"62,177","50,360,500"
2014,1/1/2014 to 31/12/2014,England,England,England,Person,All,138.5,137.4,139.6,"61,964","49,941,800"
2013,1/1/2013 to 31/12/2013,England,England,England,Person,All,141.5,140.4,142.7,"62,132","49,584,200"
2012,1/1/2012 to 31/12/2012,England,England,England,Person,All,144.6,143.5,145.8,"62,327","49,281,700"
2011,1/1/2011 to 31/12/2011,England,England,England,Person,All,147.1,145.9,148.3,"62,185","48,969,700"
2010,1/1/2010 to 31/12/2010,England,England,England,Person,All,147.8,146.7,149,"61,738","48,569,300"
2009,1/1/2009 to 31/12/2009,England,England,England,Person,All,150.5,149.3,151.7,"61,888","48,183,900"
2008,1/1/2008 to 31/12/2008,England,England,England,Person,All,153.6,152.4,154.8,"62,072","47,839,700"
2007,1/1/2007 to 31/12/2007,England,England,England,Person,All,155.7,154.5,157,"61,921","47,442,600"
2006,1/1/2006 to 31/12/2006,England,England,England,Person,All,157.7,156.5,159,"61,890","47,075,000"
2005,1/1/2005 to 31/12/2005,England,England,England,Person,All,159.8,158.6,161.1,"62,209","46,764,200"
2004,1/1/2004 to 31/12/2004,England,England,England,Person,All,162.5,161.2,163.8,62679,"46,391,500"
2003,1/1/2003 to 31/12/2003,England,England,England,Person,All,165.8,164.5,167.1,63458,"46,148,900"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,All,113.5,112.2,114.8,28779,"25,801,600"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,0 to 4,1.3,0.8,2,21,"1,577,200"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,5 to 9,1.3,0.8,2,23,"1,725,100"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,10 to 14,2,1.4,2.8,34,"1,673,700"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,15 to 19,2.8,2,3.7,42,"1,514,400"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,20 to 24,2.4,1.8,3.3,41,"1,680,800"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,25 to 29,5.3,4.3,6.5,98,"1,847,100"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,30 to 34,11.2,9.7,12.8,213,"1,908,200"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,35 to 39,23.2,21.1,25.5,438,"1,885,200"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,40 to 44,38.8,35.9,41.8,677,"1,746,000"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,45 to 49,68.2,64.5,72.1,"1,252","1,835,400"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,50 to 54,114.8,110.1,119.6,"2,254","1,964,000"
2020,1/1/2020 to 31/12/2020,England,England,England,Female,55 to 59,176.2,170.3,182.3,"3,364","1,909,200"
